;Entidad Federativa;Sexo;Salario;Año;Trimestre
315;Veracruz de Ignacio de la Llave;Mujeres;4992.19;2006;Trimestre I
316;Yucatán;Hombres;6441.53;2006;Trimestre I
317;Yucatán;Mujeres;4376.78;2006;Trimestre I
318;Zacatecas;Hombres;5809.05;2006;Trimestre I
319;Zacatecas;Mujeres;4352.95;2006;Trimestre I
320;Aguascalientes;Hombres;8489.41;2006;Trimestre II
321;Aguascalientes;Mujeres;6218.7;2006;Trimestre II
322;Baja California;Hombres;12352.62;2006;Trimestre II
323;Baja California;Mujeres;9189.11;2006;Trimestre II
324;Baja California Sur;Hombres;12069.14;2006;Trimestre II
325;Baja California Sur;Mujeres;9115.23;2006;Trimestre II
326;Campeche;Hombres;7509.47;2006;Trimestre II
327;Campeche;Mujeres;5472.98;2006;Trimestre II
328;Coahuila de Zaragoza;Hombres;9148.19;2006;Trimestre II
329;Coahuila de Zaragoza;Mujeres;6514.08;2006;Trimestre II
330;Colima;Hombres;8952.6;2006;Trimestre II
331;Colima;Mujeres;5879.45;2006;Trimestre II
332;Chiapas;Hombres;3721.37;2006;Trimestre II
333;Chiapas;Mujeres;3501.62;2006;Trimestre II
334;Chihuahua;Hombres;10053.91;2006;Trimestre II
335;Chihuahua;Mujeres;8393.76;2006;Trimestre II
336;Ciudad de México;Hombres;10416.36;2006;Trimestre II
337;Ciudad de México;Mujeres;7698.57;2006;Trimestre II
338;Durango;Hombres;6675.45;2006;Trimestre II
339;Durango;Mujeres;5362.72;2006;Trimestre II
340;Guanajuato;Hombres;6889.18;2006;Trimestre II
341;Guanajuato;Mujeres;4935.27;2006;Trimestre II
342;Guerrero;Hombres;4799.54;2006;Trimestre II
343;Guerrero;Mujeres;4076.38;2006;Trimestre II
344;Hidalgo;Hombres;5602.77;2006;Trimestre II
345;Hidalgo;Mujeres;4291.55;2006;Trimestre II
346;Jalisco;Hombres;8548.66;2006;Trimestre II
347;Jalisco;Mujeres;5761.18;2006;Trimestre II
348;México;Hombres;7597.52;2006;Trimestre II
349;México;Mujeres;5303.99;2006;Trimestre II
350;Michoacán de Ocampo;Hombres;6178.22;2006;Trimestre II
351;Michoacán de Ocampo;Mujeres;4174.18;2006;Trimestre II
352;Morelos;Hombres;6527.17;2006;Trimestre II
353;Morelos;Mujeres;4390.17;2006;Trimestre II
354;Nayarit;Hombres;7142.6;2006;Trimestre II
355;Nayarit;Mujeres;4960.76;2006;Trimestre II
356;Nuevo León;Hombres;11192.66;2006;Trimestre II
357;Nuevo León;Mujeres;7607.24;2006;Trimestre II
358;Oaxaca;Hombres;4460.31;2006;Trimestre II
359;Oaxaca;Mujeres;3476.16;2006;Trimestre II
360;Puebla;Hombres;5206.46;2006;Trimestre II
361;Puebla;Mujeres;3694.29;2006;Trimestre II
362;Querétaro;Hombres;8228.22;2006;Trimestre II
363;Querétaro;Mujeres;5913.25;2006;Trimestre II
364;Quintana Roo;Hombres;10181.6;2006;Trimestre II
365;Quintana Roo;Mujeres;7434.51;2006;Trimestre II
366;San Luis Potosí;Hombres;6944.82;2006;Trimestre II
367;San Luis Potosí;Mujeres;5117.9;2006;Trimestre II
368;Sinaloa;Hombres;8589.75;2006;Trimestre II
369;Sinaloa;Mujeres;6026.46;2006;Trimestre II
370;Sonora;Hombres;9803.61;2006;Trimestre II
371;Sonora;Mujeres;7333.76;2006;Trimestre II
372;Tabasco;Hombres;7709.79;2006;Trimestre II
373;Tabasco;Mujeres;6047.15;2006;Trimestre II
374;Tamaulipas;Hombres;9907.11;2006;Trimestre II
375;Tamaulipas;Mujeres;6986.35;2006;Trimestre II
376;Tlaxcala;Hombres;5483.23;2006;Trimestre II
377;Tlaxcala;Mujeres;3980.8;2006;Trimestre II
378;Veracruz de Ignacio de la Llave;Hombres;6133.82;2006;Trimestre II
379;Veracruz de Ignacio de la Llave;Mujeres;4936.3;2006;Trimestre II
380;Yucatán;Hombres;6129.53;2006;Trimestre II
